Job Title,Experience (Years),Education Level,Location,Salary (USD)
Data Scientist,1,PhD,Seattle,87029
ML Engineer,6,Master,Boston,100452
Cybersecurity Analyst,2,Master,New York,82393
Cloud Engineer,11,Bachelor,Seattle,115636
Software Engineer,9,Master,New York,119106
Product Manager,15,PhD,Boston,151035
Web Developer,14,Bachelor,Los Angeles,133436
Cloud Engineer,1,Master,Austin,77234
Software Engineer,5,Master,New York,95453
Cybersecurity Analyst,6,Master,Austin,99007
ML Engineer,3,Master,New York,83125
Data Analyst,1,PhD,Boston,84635
Product Manager,0,Master,New York,70230
ML Engineer,12,PhD,Seattle,143793
Data Analyst,5,Bachelor,San Francisco,85250
Cybersecurity Analyst,9,PhD,Chicago,128880
Cloud Engineer,6,Bachelor,Seattle,93039
Data Analyst,11,Bachelor,Seattle,111030
Data Analyst,0,PhD,San Francisco,76175
AI Researcher,0,Master,Los Angeles,72574
ML Engineer,4,PhD,Chicago,102049
AI Researcher,7,Bachelor,Seattle,93228
ML Engineer,11,PhD,Los Angeles,130775
AI Researcher,14,PhD,New York,149603
Cloud Engineer,11,PhD,Chicago,131571
Cybersecurity Analyst,3,Bachelor,San Francisco,76851
Web Developer,5,PhD,San Francisco,102545
Product Manager,11,Master,Los Angeles,121920
DevOps Engineer,2,PhD,Seattle,87801
Product Manager,1,Bachelor,Los Angeles,62907
Frontend Developer,2,PhD,Los Angeles,91964
Data Scientist,11,Master,Austin,121599
Backend Developer,8,PhD,Seattle,117033
AI Researcher,13,Master,Austin,132180
DevOps Engineer,11,Bachelor,New York,111587
DevOps Engineer,12,Bachelor,Chicago,124681
Software Engineer,3,Bachelor,Boston,71025
Backend Developer,14,Bachelor,Seattle,126487
ML Engineer,2,PhD,Austin,91895
Frontend Developer,12,PhD,San Francisco,143869
ML Engineer,3,Master,Austin,87404
Web Developer,2,Bachelor,Boston,65807
Frontend Developer,11,PhD,Austin,138050
Cybersecurity Analyst,3,Master,San Francisco,88405
DevOps Engineer,11,Master,San Francisco,124766
Data Scientist,14,Bachelor,New York,131430
Cloud Engineer,5,PhD,San Francisco,106394
AI Researcher,0,Master,Seattle,74480
Data Analyst,8,PhD,Los Angeles,115994
ML Engineer,5,PhD,Austin,108538
ML Engineer,2,Bachelor,San Francisco,74397
DevOps Engineer,13,Bachelor,Seattle,129307
Backend Developer,8,PhD,Boston,117436
Software Engineer,11,Master,Austin,121154
Cybersecurity Analyst,5,Master,Seattle,92229
AI Researcher,6,Bachelor,Los Angeles,89200
Product Manager,9,PhD,San Francisco,121720
DevOps Engineer,7,Master,Austin,108341
Data Scientist,12,Master,Chicago,128448
DevOps Engineer,6,Master,San Francisco,104797
Data Analyst,0,Bachelor,San Francisco,63453
Data Analyst,14,Bachelor,Seattle,126640
Cloud Engineer,7,Master,San Francisco,105909
Product Manager,5,PhD,San Francisco,107828
Cloud Engineer,13,Master,New York,131554
ML Engineer,12,PhD,Boston,136614
Product Manager,1,Master,San Francisco,70612
AI Researcher,8,Bachelor,New York,96199
Software Engineer,15,Master,San Francisco,145230
Web Developer,13,PhD,Boston,148455
ML Engineer,5,Bachelor,Chicago,85611
DevOps Engineer,0,Master,Seattle,71632
Product Manager,2,Bachelor,Boston,65638
Frontend Developer,2,Bachelor,San Francisco,69851
Data Analyst,1,Master,Seattle,71719
AI Researcher,13,Master,San Francisco,136351
Product Manager,5,PhD,New York,105832
Frontend Developer,11,Bachelor,Chicago,113590
AI Researcher,13,Master,Seattle,130566
Frontend Developer,2,PhD,Austin,91992
Cybersecurity Analyst,12,Master,New York,127554
Backend Developer,1,PhD,Chicago,89733
Web Developer,4,Bachelor,Boston,79957
Frontend Developer,2,Master,Chicago,79053
Data Scientist,8,Master,Seattle,111489
AI Researcher,0,PhD,Seattle,84699
DevOps Engineer,13,Bachelor,Los Angeles,129692
Product Manager,0,Bachelor,San Francisco,64975
ML Engineer,11,Bachelor,Chicago,116257
DevOps Engineer,0,PhD,Austin,79386
Cybersecurity Analyst,1,Bachelor,Chicago,62974
DevOps Engineer,0,PhD,Los Angeles,84068
Software Engineer,7,Bachelor,Chicago,98803
Data Analyst,2,Bachelor,Boston,69716
Data Scientist,5,Master,Seattle,94956
AI Researcher,5,Bachelor,Chicago,89571
Web Developer,11,PhD,Austin,139966
Cloud Engineer,15,Master,New York,141100
Backend Developer,7,Bachelor,Seattle,97613
Software Engineer,3,PhD,New York,90053
